Date,Module,Readings,Due Dates
2026-01-21,Course overview,"<strong>Revolutionary ideas: Political philosophy between the past and the future</strong><ul><li>
Samuel Earle, “<a href='https://www.theguardian.com/commentisfree/2026/jan/03/zohran-mamdani-new-york-mayor-block-party-more-politics'>At Zohran Mamdani’s Block Party, I Observed a Simple Truth: People Want More Politics, Not Less</a>” (2025)</li><li>
Caro Flores, “<a href='https://jacobin.com/2025/10/portugal-salazar-carnation-revolution-nostalgia'>The Left Can’t Abandon Nostalgia to the Right</a>” (2025)</li></ul>",
2026-01-26,The making of modern political philosophy,"<strong>Remote snow day (on Zoom)</strong><ul><li><em>In-class screening</em>: <em>My Name Is Pauli Murray</em> (2021), directed by Betsy West and Julie Cohen, 91 min</li></ul>",Please complete this <a href='https://forms.gle/t1eeDnbNVquAe26N8'>“Getting to Know You” survey</a> by 5pm the day before (or as soon as possible if you are joining late)
2026-01-28,The making of modern political philosophy,"<strong>The philosopher who would be king I</strong><ul><li>Plato, <em>Republic</em>, [translator’s] preface & 327a–354c [CourseWorks > Files]</li></ul>",
2026-02-02,The making of modern political philosophy,"<strong>The philosopher who would be king II</strong><ul><li>Plato, <em>Republic</em>, 484a–489c [CourseWorks]</li><li>Plato, <em>Statesman</em>, 291d–303b [CourseWorks]</li></ul>",
2026-02-04,The making of modern political philosophy,"<strong>Before the state there was nature I</strong><ul><li>Thomas Hobbes, <em>Leviathan</em> (1651), chaps. 11, 13, 14.1–9, 15.1–7, 17–18, 29.23 [anthology]</li></ul>",
2026-02-09,The making of modern political philosophy,"<strong>Before the state there was nature II</strong><ul><li>John Locke, <em>Second Treatise</em> (1689), chaps. 1–5, 6 (only §§ 52–68), 7 (only §§ 77–82), 8 (only §§ 95-99, 119–22), 9–11 [anthology]</li></ul>",
2026-02-11,The making of modern political philosophy,"<strong>Before the state there was nature IV</strong><ul><li>Carole Pateman, <em>The Sexual Contract</em> (1988), preface and chap. 3 (skip pp. 43–44, 60–64, 67–73) [CourseWorks]</li></ul>",
2026-02-16,The making of modern political philosophy,"<strong>Before the state there was nature V</strong><ul><li>Jean-Jacques Rousseau, <em>Discourse on Inequality</em> (1755), pp. 287–94, 297–310, 314–15, 320–26 (skim) [anthology]</li><li>Rousseau, <em>On the Social Contract</em> (1762), 1.1, 1.3–4, 1.6–8, 2.1–3, 4.2–3 (skim) [anthology]</li></ul>",
2026-02-18,The making of modern political philosophy,"<strong>Before the state there was nature VI</strong><ul><li>Charles Mills, <a href='https://www-degruyterbrill-com.ezproxy.cul.columbia.edu/document/doi/10.1515/9781501764301/html'><em>The Racial Contract</em></a> (1997), pp. 1–7 (skim), 17–19, 53–69, 73–81, 83–89</li></ul>",
2026-02-23,The making of modern political philosophy,"<strong>Give me liberty or give me death I</strong><ul><li>Montesquieu, <em>The Spirit of Laws</em> (1748), 8.16 [CourseWorks] and 11.6 [anthology]</li><li>If you haven’t read them recently: <em>Declaration of Independence</em> (1776) [anthology] and the <a href='https://www.govinfo.gov/app/details/CDOC-112hdoc129/CDOC-112hdoc129'><em>U.S. Constitution</em></a></li><li><em>The Federalist Papers</em>, nos. 9–10, 51 [anthology]</li><li><em>Dred Scott v. Sandford</em> (1857), selections [CourseWorks]</li><li>Either of the following:<ul><li>Victoria Woodhull, <em>A New Constitution for the United States of the World</em> (1870) [CourseWorks]</li><li>Sun Yet-Sen, <em>Principle of Democracy</em> (1924), lecture VI, pp. 116–120, 127–142 [CourseWorks]</li></ul></li></ul>",
2026-02-25,The making of modern political philosophy,"Class canceled",
2026-02-27,The making of modern political philosophy,"<strong><a href='https://bcrw.barnard.edu/event/the-scholar-and-feminist-fifty-years-of-meeting-the-moment'>BCRW 50th Scholar & Feminist Conference</a> (Day 1)</strong><br />",
2026-02-28,The making of modern political philosophy,"<strong>BCRW 50th Scholar & Feminist Conference (Day 2)</strong><br />",
2026-03-02,The making of modern political philosophy,"<strong>Give me liberty or give me death II</strong><ul><li>John Stuart Mill, <em>On Liberty</em> (1859), selections in the anthology</li></ul>",
2026-03-04,The making of modern political philosophy,"<strong>Give me liberty or give me death III</strong><ul><li>Karl Marx, <em>Economic and Philosophic Manuscripts</em> 
(1844), pp. 670–76 [anthology] or pp. 85–95 [CourseWorks]</li><li>Marx, “Theses on Feuerbach” (1845) [anthology or CourseWorks]</li><li>Marx, “On the Jewish Question” (1844), pp. 666–69 (skim pp. 666–67) [anthology] or pp. 59–64 (skim pp. 59–62) [CourseWorks]</li><li>Marx & Engels, <em>The Communist Manifesto</em> (1848), pp. 695, 701–5, 710 [anthology] or pp. 245–46, 255–62, 271 [CourseWorks]</li></ul>",
2026-03-09,The making of modern political philosophy,"<strong>Give me liberty or give me death IV</strong><ul><li>Marx, <em>Capital</em> (1867), pp. 458–74 (skim pp. 472–74), 488–92, 496–508, 512–13 [CourseWorks]</li></ul>",
2026-03-11,The making of modern political philosophy,"<strong>Give me liberty or give me death V</strong><ul><li>Emma Goldman, <a href='https://hdl.handle.net/2027/coo1.ark:/13960/t7qn7bc8c'><em>Anarchism and Other Essays</em></a> (1910), chaps. 1 & 10, and skim either chap. 4 or chap. 5</li></ul>", 
